iter	Passed	Remaining
658	1291	668
659	1293	666
660	1295	664
661	1297	662
662	1299	660
663	1300	658
664	1302	656
665	1304	654
666	1306	652
667	1308	650
668	1310	648
669	1312	646
670	1313	644
671	1315	642
672	1317	640
673	1319	638
674	1321	636
675	1323	634
676	1324	632
677	1326	630
678	1328	628
679	1330	626
680	1332	624
681	1334	622
682	1336	620
683	1338	618
684	1339	616
685	1342	614
686	1343	612
687	1345	610
688	1347	608
689	1349	606
690	1351	604
691	1353	602
692	1355	600
693	1357	598
694	1359	596
695	1361	594
696	1363	592
697	1364	590
698	1366	588
699	1368	586
700	1370	584
701	1372	582
702	1374	580
703	1376	578
704	1378	576
705	1380	574
706	1382	572
707	1384	570
708	1385	568
709	1387	566
710	1389	564
711	1391	562
712	1393	560
713	1395	558
714	1397	556
715	1399	554
716	1400	552
717	1402	550
718	1404	548
719	1406	546
720	1408	544
721	1409	542
722	1411	540
723	1413	538
724	1415	536
725	1417	534
726	1418	532
727	1420	530
728	1422	528
729	1424	526
730	1426	524
731	1428	522
732	1430	520
733	1431	518
734	1433	516
735	1435	514
736	1437	512
737	1439	510
738	1441	508
739	1442	506
740	1444	504
741	1446	502
742	1448	501
743	1450	499
744	1452	497
745	1453	495
746	1455	493
747	1457	491
748	1459	489
749	1461	487
750	1463	485
751	1464	483
752	1466	481
753	1468	479
754	1470	477
755	1472	475
756	1473	473
757	1475	471
758	1477	469
759	1479	467
760	1481	465
761	1483	463
762	1484	461
763	1486	459
764	1488	457
765	1490	455
766	1492	453
767	1494	451
768	1496	449
769	1498	447
770	1500	445
771	1502	443
772	1504	441
773	1505	439
774	1507	437
775	1509	435
776	1511	433
777	1513	431
778	1515	429
779	1516	427
780	1518	425
781	1520	423
782	1522	421
783	1524	419
784	1526	418
785	1527	416
786	1529	414
787	1531	412
788	1533	410
789	1535	408
790	1537	406
791	1539	404
792	1541	402
793	1542	400
794	1544	398
795	1546	396
796	1548	394
797	1550	392
798	1552	390
799	1553	388
800	1555	386
801	1557	384
802	1559	382
803	1561	380
804	1563	378
805	1565	376
806	1566	374
807	1568	372
808	1570	370
809	1572	368
810	1574	366
811	1576	364
812	1577	362
813	1579	360
814	1581	359
815	1583	357
816	1585	355
817	1587	353
818	1589	351
819	1591	349
820	1593	347
821	1595	345
822	1596	343
823	1598	341
824	1600	339
825	1602	337
826	1604	335
827	1606	333
828	1608	331
829	1609	329
830	1611	327
831	1613	325
832	1615	323
833	1617	321
834	1618	319
835	1620	317
836	1622	315
837	1624	314
838	1626	312
839	1627	310
840	1629	308
841	1631	306
842	1633	304
843	1635	302
844	1637	300
845	1638	298
846	1640	296
847	1642	294
848	1644	292
849	1646	290
850	1647	288
851	1649	286
852	1651	284
853	1653	282
854	1655	280
855	1657	278
856	1659	276
857	1660	274
858	1662	272
859	1664	270
860	1666	269
861	1668	267
862	1669	265
863	1671	263
864	1673	261
865	1674	259
866	1676	257
867	1678	255
868	1680	253
869	1682	251
870	1683	249
871	1685	247
872	1687	245
873	1689	243
874	1691	241
875	1693	239
876	1694	237
877	1696	235
878	1698	233
879	1700	231
880	1702	229
881	1704	228
882	1706	226
883	1708	224
884	1710	222
885	1711	220
886	1713	218
887	1715	216
888	1717	214
889	1719	212
890	1720	210
891	1722	208
892	1724	206
893	1726	204
894	1728	202
895	1729	200
896	1731	198
897	1733	196
898	1735	194
899	1737	193
900	1738	191
901	1740	189
902	1742	187
903	1744	185
904	1746	183
905	1748	181
906	1749	179
907	1751	177
908	1753	175
909	1755	173
910	1757	171
911	1759	169
912	1761	167
913	1763	165
914	1764	163
915	1766	161
916	1768	160
917	1769	158
918	1771	156
919	1773	154
920	1775	152
921	1777	150
922	1778	148
923	1780	146
924	1782	144
925	1784	142
926	1786	140
927	1788	138
928	1790	136
929	1791	134
930	1793	132
931	1795	131
932	1797	129
933	1799	127
934	1801	125
935	1802	123
936	1804	121
937	1806	119
938	1808	117
939	1809	115
940	1812	113
941	1813	111
942	1815	109
943	1817	107
944	1819	105
945	1821	103
946	1822	102
947	1824	100
948	1826	98
949	1828	96
950	1830	94
951	1832	92
952	1833	90
953	1835	88
954	1837	86
955	1839	84
956	1841	82
957	1842	80
958	1844	78
959	1846	76
960	1848	75
961	1850	73
962	1852	71
963	1854	69
964	1856	67
965	1857	65
966	1860	63
967	1862	61
968	1864	59
969	1865	57
970	1867	55
971	1869	53
972	1871	51
973	1873	50
974	1875	48
975	1877	46
976	1878	44
977	1880	42
978	1882	40
979	1884	38
980	1886	36
981	1888	34
982	1890	32
983	1892	30
984	1894	28
985	1895	26
986	1897	24
987	1899	23
988	1901	21
989	1903	19
990	1905	17
991	1906	15
992	1908	13
993	1910	11
994	1912	9
995	1914	7
996	1916	5
997	1918	3
998	1919	1
999	1921	0
